meteostat_id,doy,name,alt,wmo_id,national_id,icao_id,tavg,tmin,tmax,prcp,snow,n_obs,lon,lat
34214,1,Belgorod,122,34214,NA,UUOB,-2.0090909090909093,-1.8333333333333333,1.3333333333333333,2.3666666666666667,NA,14,36.583299999999994,50.6333
34214,2,Belgorod,122,34214,NA,UUOB,-1.8666666666666667,-3,2,1.9,NA,15,36.583299999999994,50.6333
34214,3,Belgorod,122,34214,NA,UUOB,-4.16,-3.4,1.2,1.5285714285714285,NA,13,36.583299999999994,50.6333
34214,4,Belgorod,122,34214,NA,UUOB,-4.845454545454546,-5.166666666666667,-1,1.0142857142857142,NA,14,36.583299999999994,50.6333
34214,5,Belgorod,122,34214,NA,UUOB,-5.62,-5,-1.6,1.7,NA,13,36.583299999999994,50.6333
34214,6,Belgorod,122,34214,NA,UUOB,-5.463636363636364,-6.833333333333333,-1,1.5285714285714287,NA,14,36.583299999999994,50.6333
34214,7,Belgorod,122,34214,NA,UUOB,-6.133333333333334,-8.714285714285714,-3.2857142857142856,1.2285714285714286,NA,15,36.583299999999994,50.6333
34214,8,Belgorod,122,34214,NA,UUOB,-7.254545454545454,-12.666666666666666,-6.833333333333333,0.7571428571428571,NA,14,36.583299999999994,50.6333
34214,9,Belgorod,122,34214,NA,UUOB,-6.372727272727273,-9.857142857142858,-4.142857142857143,0.5571428571428572,NA,14,36.583299999999994,50.6333
34214,10,Belgorod,122,34214,NA,UUOB,-4.5636363636363635,-7.166666666666667,-2.6666666666666665,0.3142857142857143,NA,14,36.583299999999994,50.6333
34214,11,Belgorod,122,34214,NA,UUOB,-5.17,-7.4,-3.2,0.6285714285714286,NA,13,36.583299999999994,50.6333
34214,12,Belgorod,122,34214,NA,UUOB,-6.216666666666667,-9.428571428571429,-4.142857142857143,0.7000000000000001,NA,15,36.583299999999994,50.6333
34214,13,Belgorod,122,34214,NA,UUOB,-6.527272727272727,-11.5,-5.166666666666667,3.0857142857142854,NA,14,36.583299999999994,50.6333
34214,14,Belgorod,122,34214,NA,UUOB,-5.327272727272727,-9.166666666666666,-2.6666666666666665,1.0857142857142856,NA,14,36.583299999999994,50.6333
34214,15,Belgorod,122,34214,NA,UUOB,-4.827272727272727,-5.833333333333333,-2.8333333333333335,0.7285714285714285,NA,14,36.583299999999994,50.6333
34214,16,Belgorod,122,34214,NA,UUOB,-4.983333333333333,-7,-2.7142857142857144,2.5285714285714285,NA,15,36.583299999999994,50.6333
34214,17,Belgorod,122,34214,NA,UUOB,-6.433333333333334,-8.714285714285714,-3.685714285714286,0.6714285714285715,NA,15,36.583299999999994,50.6333
34214,18,Belgorod,122,34214,NA,UUOB,-6.1,-8,-1.6666666666666667,3.1857142857142855,NA,13,36.583299999999994,50.6333
34214,19,Belgorod,122,34214,NA,UUOB,-7.17,-7.166666666666667,-2.5,3.5999999999999996,NA,13,36.583299999999994,50.6333
34214,20,Belgorod,122,34214,NA,UUOB,-7.345454545454546,-9.666666666666666,-3.5833333333333335,1.6714285714285715,NA,14,36.583299999999994,50.6333
34214,21,Belgorod,122,34214,NA,UUOB,-6,-8.428571428571429,-2.4285714285714284,0.7428571428571428,NA,15,36.583299999999994,50.6333
34214,22,Belgorod,122,34214,NA,UUOB,-6.538461538461538,-7.625,-3.125,0.3142857142857143,NA,16,36.583299999999994,50.6333
